اسم_الحضانة,رقم_التليفون_الأول,رقم_التليفون_الثاني,البريد_الإلكتروني,الوصف,الرسوم,المحافظة,المدينة,المنطقة,صورة_الحضانة,الموقع_GPS,العنوان,رابط_الصفحة,الدوام,النوع
حضانة شمس العز,796385230,62006896,shamsalazz@gmail.com,حضانة تعليمية تهتم بتطوير مهارات الطفل,150 دينار شهريًا,عمان,تلاع العلي,تلاع العلي,https://sltnah.com/images/shamsalazz.jpg,"31.9555, 35.9456",شارع الملكة نور، عمارة رقم 12,https://sltnah.com/info-30592.html,7 صباحاً – 7 مساءً (الجمعة عطلة),منتسوري (English & Arabic)
حضانة لبنى,796385230,791234567,lubnaspreschool2003@gmail.com,حضانة خاصة تقدم برامج تعليمية متنوعة,120 دينار شهريًا,عمان,عبدون,عبدون,https://www.directoryjordan.com/images/lubna.jpg,"31.9532, 35.9301",شارع الأمير حمزة، مبنى 7,https://www.directoryjordan.com/lubnapreschool,,
Learning Trail Nursery,790874313,,info@learning-trail.edu.jo,حضانة دولية مع منهج حديث,180 دينار شهريًا,عمان,الجبيهة,الجبيهة,https://www.ainpedia.com/images/learningtrail.jpg,"31.9643, 35.9542",شارع الجبيهة الرئيسي، محل 10,https://www.ainpedia.com/paged/learningtrail,,
WABE Amman,797980008,,info@wabe-amman.com,حضانة لرياض الأطفال متخصصة,200 دينار شهريًا,عمان,خلدا,خلدا,https://yellowpages-ar.cybo.com/images/wabeamman.jpg,"31.9597, 35.9398",شارع ناقور، مبنى 5,https://yellowpages-ar.cybo.com/wabeamman,,
White Lines Nursery,962796398889,,adel.en@hotmail.com,حضانة معتمدة تقدم خدمات تربوية متكاملة,170 دينار شهريًا,عمان,خلدا,خلدا,https://yellowpages-ar.cybo.com/images/whitelines.jpg,"31.9610, 35.9405",شارع الجمعيات، مبنى 8,https://yellowpages-ar.cybo.com/whitelines,,
حضانة اليوم السعيد,795123456,,info@alyoumsaeed.jo,حضانة معتمدة من الضمان الاجتماعي,140 دينار شهريًا,عمان,بسمان,بسمان,https://ssc.gov.jo/uploads/day_happy_nursery.jpg,"31.9530, 35.9300",شارع بسمان، عمارة رقم 4,https://ssc.gov.jo/alyoumsaeed,,
حضانة فرح النموذجية,795234567,797654321,contact@farah-nursery.com,حضانة نموذجية تقدم بيئة تعليمية محفزة,160 دينار شهريًا,عمان,جبل الحسين,جبل الحسين,https://directoryjordan.com/images/farah_nursery.jpg,"31.9490, 35.9380",شارع جبل الحسين، مبنى 10,https://directoryjordan.com/farah_nursery,,
حضانة سيسو النموذجية,795345678,,sisonursery@gmail.com,حضانة تطور مهارات الطفل ببرامج شاملة,150 دينار شهريًا,عمان,خلدا,خلدا,https://yellowpages-ar.cybo.com/images/siso_nursery.jpg,"31.9570, 35.9402",شارع خلدا الرئيسي، مبنى 15,https://yellowpages-ar.cybo.com/sisonursery,,
حضانة قوس قزح النموذجية,795456789,,rainbow.school@gmail.com,حضانة تقدم برامج تربوية مبتكرة,155 دينار شهريًا,عمان,الشميساني,الشميساني,https://ainpedia.com/images/rainbow_nursery.jpg,"31.9585, 35.9420",شارع الشميساني، مقابل مركز المدينة,https://ainpedia.com/rainbownursery,,
حضانة شمسة الأصدقاء,795567890,795123455,friends.nursery@example.com,حضانة تجمع بين التعلم والمرح,145 دينار شهريًا,عمان,الطفيلة,الطفيلة,https://madaresonajo.com/images/shamsa_friends_nursery.jpg,"31.9420, 35.9350",شارع الطفيلة، بناية رقم 3,https://madaresonajo.com/shamsafriendsnursery,,
